ha	UH	ha
is	VBZ	be
pretty	RB	pretty
.	SENT	.
here	RB	here
is	VBZ	be
a	DT	a
wallpaper	NN	wallpaper
.	SENT	.
we	PP	we
're	VVP	're
going	VVG	go
to	TO	to
fold	VV	fold
it	PP	it
in	IN	in
half	NN	half
.	SENT	.
we	PP	we
're	VVP	're
going	VVG	go
to	TO	to
fold	VV	fold
it	PP	it
in	IN	in
half	NN	half
.	SENT	.
but	CC	but
do	VVP	do
n't	RB	not
fold	VV	fold
the	DT	the
design	NN	design
.	SENT	.
just	RB	just
fold	VV	fold
this	DT	this
.	SENT	.
be	VB	be
careful	JJ	careful
you	PP	you
do	VVP	do
n't	RB	not
fold	VV	fold
the	DT	the
flower	NN	flower
.	SENT	.
because	IN	because
if	IN	if
you	PP	you
do	VVP	do
that	IN	that
then	RB	then
it	PP	it
will	MD	will
be	VB	be
wrecked	VVN	wreck
.	SENT	.
so	RB	so
just	RB	just
fold	VV	fold
it	PP	it
like	VV	like
this	DT	this
.	SENT	.
,	,	,
turn	VV	turn
it	PP	it
over	IN	over
and	CC	and
see	VV	see
if	IN	if
the	DT	the
flower	NN	flower
's	POS	's
folded	VVN	fold
.	SENT	.
and	CC	and
if	IN	if
it	PP	it
is	VBZ	be
n't	RB	not
right	VV	right
and	CC	and
you	PP	you
if	IN	if
it	PP	it
is	VBZ	be
n't	RB	not
folded	VVN	fold
right	RB	right
then	RB	then
you	PP	you
're	VVP	're
sorry	JJ	sorry
.	SENT	.
you	PP	you
're	VVP	're
out	IN	out
and	CC	and
you	PP	you
can	MD	can
n't	RB	not
play	VV	play
.	SENT	.
that	WDT	that
was	VBD	be
n't	RB	not
very	RB	very
funny	JJ	funny
.	SENT	.
that	WDT	that
was	VBD	be
n't	RB	not
very	RB	very
funny	JJ	funny
.	SENT	.
watch	VV	watch
.	SENT	.
watch	VV	watch
.	SENT	.
okay	JJ	okay
.	SENT	.
you	PP	you
can	MD	can
get	VV	get
dressed	VVN	dress
now	RB	now
.	SENT	.
which	WDT	which
button	NN	button
do	VVP	do
you	PP	you
okay	JJ	okay
.	SENT	.
Humpty	NP	humpty
Dumpty	NP	dumpty
sitting	VVG	sit
on	IN	on
a	DT	a
wall	NN	wall
.	SENT	.
was	VBD	be
he	PP	he
cornered	VVD	corner
but	CC	but
he	PP	he
could	MD	could
n't	RB	not
do	VV	do
anything	NN	anything
right	NN	right
.	SENT	.
then	RB	then
came	VVD	come
beautiful	JJ	beautiful
wallpaper	NN	wallpaper
.	SENT	.
it	PP	it
covered	VVD	cover
Humpty	NP	humpty
Dumpty	NP	dumpty
.	SENT	.
oh	UH	oh
he	PP	he
no	RB	no
longer	RB	long
did	VVD	do
and	CC	and
he	PP	he
no	RB	no
longer	RB	long
did	VVD	do
he	PP	he
no	RB	no
longer	RB	long
did	VVD	do
something	NN	something
hard	JJ	hard
.	SENT	.
he	PP	he
did	VVD	do
nothing	NN	nothing
hard	JJ	hard
.	SENT	.
she	PP	she
did	VVD	do
nothing	NN	nothing
but	CC	but
splan	NN	splan
in	IN	in
her	PP$	her
pantlanney	NN	pantlanney
in	IN	in
her	PP$	her
shanney	NN	shanney
in	IN	in
her	PP$	her
banny	NN	banny
in	IN	in
her	PP$	her
canny	JJ	canny
.	SENT	.
and	CC	and
that	DT	that
's	VVZ	's
all	DT	all
.	SENT	.
tape	NN	tape
is	VBZ	be
there	RB	there
.	SENT	.
hey	UH	hey
Mom	NN	mom
.	SENT	.
need	NN	need
a	DT	a
button	NN	button
pushed	VVD	push
.	SENT	.
I	PP	i
want	VVP	want
,	,	,
yeah	UH	yeah
.	SENT	.
put	VV	put
those	DT	that
up	IN	up
Humpty	NP	humpty
Dumpty	NP	dumpty
sat	VVD	sit
on	IN	on
a	DT	a
wall	NN	wall
.	SENT	.
Humpty	NP	humpty
Dumpty	NP	dumpty
had	VHD	have
a	DT	a
great	JJ	great
fall	NN	fall
.	SENT	.
Humpty	NP	humpty
Dumpty	NP	dumpty
was	VBD	be
on	IN	on
a	DT	a
wall	NN	wall
.	SENT	.
he	PP	he
did	VVD	do
n't	RB	not
know	VV	know
what	WP	what
to	TO	to
say	VV	say
.	SENT	.
the	DT	the
farmers	NNS	farmer
.	SENT	.
you	PP	you
do	VVP	do
n't	RB	not
have	VH	have
to	TO	to
watch	VV	watch
me	PP	me
.	SENT	.
yeah	UH	yeah
.	SENT	.
Humpty	NP	humpty
Dumpty	NP	dumpty
was	VBD	be
sitting	VVG	sit
on	IN	on
a	DT	a
wall	NN	wall
.	SENT	.
cry	NN	cry
.	SENT	.
what	WP	what
?	SENT	?
and	CC	and
he	PP	he
you	PP	you
can	MD	can
go	VV	go
.	SENT	.
he	PP	he
did	VVD	do
n't	RB	not
know	VV	know
something	NN	something
.	SENT	.
he	PP	he
did	VVD	do
n't	RB	not
know	VV	know
unk	JJ	unk
.	SENT	.
he	PP	he
did	VVD	do
n't	RB	not
know	VV	know
plunk	NN	plunk
.	SENT	.
he	PP	he
did	VVD	do
n't	RB	not
know	VV	know
plunk	NN	plunk
.	SENT	.
the	DT	the
wall	NN	wall
was	VBD	be
shanned	VVN	<unknown>
.	SENT	.
the	DT	the
wall	NN	wall
was	VBD	be
canned	JJ	canned
.	SENT	.
can	MD	can
he	PP	he
?	SENT	?
and	CC	and
there	EX	there
was	VBD	be
a	DT	a
cloud	NN	cloud
there	RB	there
.	SENT	.
and	CC	and
that	DT	that
's	VVZ	's
all	DT	all
I	PP	i
wanna	VVP	wanna
say	VVP	say
.	SENT	.
well	RB	well
that	WDT	that
was	VBD	be
very	RB	very
short	JJ	short
,	,	,
was	VBD	be
n't	RB	not
it	PP	it
?	SENT	?
I	PP	i
do	VVP	do
n't	RB	not
know	VV	know
.	SENT	.
that	WDT	that
was	VBD	be
very	RB	very
short	JJ	short
.	SENT	.
yes	UH	yes
it	PP	it
was	VBD	be
.	SENT	.
yes	UH	yes
it	PP	it
was	VBD	be
.	SENT	.
what	WP	what
do	VVP	do
you	PP	you
want	VV	want
to	TO	to
say	VV	say
else	RB	else
?	SENT	?
Humpty	NP	humpty
Dumpty	NP	dumpty
sat	VVD	sit
on	IN	on
a	DT	a
wall	NN	wall
.	SENT	.
he	PP	he
cried	VVD	cry
and	CC	and
cried	VVD	cry
for	IN	for
hundreds	NNS	hundred
of	IN	of
weeks	NNS	week
.	SENT	.
I	PP	i
'm	VBP	be
going	VVG	go
to	TO	to
turn	VV	turn
this	DT	this
off	NN	off
for	IN	for
you	PP	you
.	SENT	.
Humpty	NP	humpty
Dumpty	NP	dumpty
sat	VVD	sit
on	IN	on
a	DT	a
wall	NN	wall
.	SENT	.
Humpty	NP	humpty
Dumpty	NP	dumpty
had	VHD	have
a	DT	a
great	JJ	great
fall	NN	fall
.	SENT	.
all	PDT	all
the	DT	the
kings	NNS	king
horses	NNS	horse
could	MD	could
n't	RB	not
put	VV	put
Humpty	NP	humpty
Dumpty	NP	dumpty
back	RB	back
together	RB	together
again	RB	again
.	SENT	.
horsie	NN	horsie
,	,	,
do	VVP	do
you	PP	you
want	VV	want
to	TO	to
speak	VV	speak
?	SENT	?
little	JJ	little
horsie	NN	horsie
,	,	,
you	PP	you
wanna	VVP	wanna
speak	VV	speak
?	SENT	?
neigh	NN	neigh
neigh	NN	neigh
payla	NN	payla
kay	NN	kay
.	SENT	.
you	PP	you
go	VVP	go
boolyyeyalay	VVG	<unknown>
.	SENT	.
youshalia	NN	youshalia
gobaly	RB	gobaly
.	SENT	.
that	DT	that
's	VVZ	's
all	DT	all
yours	PP	yours
.	SENT	.
that	DT	that
's	VVZ	's
all	DT	all
you	PP	you
wanna	VVP	wanna
say	VVP	say
.	SENT	.
what	WP	what
do	VVP	do
you	PP	you
want	VV	want
to	TO	to
say	VV	say
?	SENT	?
there	EX	there
was	VBD	be
a	DT	a
little	JJ	little
horsie	NN	horsie
sat	VVD	sit
on	IN	on
a	DT	a
wall	NN	wall
.	SENT	.
she	PP	she
did	VVD	do
n't	RB	not
cry	VV	cry
but	CC	but
she	PP	she
was	VBD	be
very	RB	very
hungry	JJ	hungry
.	SENT	.
and	CC	and
that	DT	that
was	VBD	be
about	IN	about
the	DT	the
there	EX	there
was	VBD	be
no	DT	no
food	NN	food
on	IN	on
it	PP	it
.	SENT	.
and	CC	and
so	RB	so
the	DT	the
late	JJ	late
invention	NN	invention
wokumbane	NN	wokumbane
and	CC	and
susslane	NN	susslane
,	,	,
but	CC	but
will	MD	will
you	PP	you
pay	VV	pay
attention	NN	attention
to	TO	to
me	PP	me
?	SENT	?
will	MD	will
you	PP	you
do	VV	do
a	DT	a
favor	NN	favor
for	IN	for
me	PP	me
,	,	,
a	DT	a
pee	NN	pee
?	SENT	?
what	WP	what
do	VVP	do
you	PP	you
wanna	VV	wanna
say	VVP	say
?	SENT	?
there	EX	there
was	VBD	be
a	DT	a
kapooha	NN	kapooha
shabbily	RB	shabbily
gob	NN	gob
.	SENT	.
moo	VV	moo
.	SENT	.
moo	VV	moo
.	SENT	.
neigh	NN	neigh
.	SENT	.
neigh	NN	neigh
.	SENT	.
what	WP	what
do	VVP	do
you	PP	you
want	VV	want
to	TO	to
say	VV	say
?	SENT	?
I	PP	i
know	VVP	know
you	PP	you
do	VVP	do
n't	RB	not
want	VV	want
to	TO	to
say	VV	say
it	PP	it
,	,	,
but	CC	but
you	PP	you
have	VHP	have
to	TO	to
.	SENT	.
what	WP	what
do	VVP	do
you	PP	you
want	VV	want
to	TO	to
say	VV	say
?	SENT	?
nothing	NN	nothing
?	SENT	?
you	PP	you
have	VHP	have
to	TO	to
.	SENT	.
once	RB	once
there	EX	there
was	VBD	be
a	DT	a
cherry	JJ	cherry
sitting	NN	sit
on	IN	on
the	DT	the
wall	NN	wall
.	SENT	.
flatty	NN	flatty
blatty	NN	blatty
okay	JJ	okay
,	,	,
do	VVP	do
a	DT	a
sentence	NN	sentence
.	SENT	.
okay	JJ	okay
,	,	,
what	WP	what
do	VVP	do
you	PP	you
wanna	VV	wanna
say	VVP	say
?	SENT	?
he	PP	he
was	VBD	be
a	DT	a
little	JJ	little
shanney	NN	shanney
.	SENT	.
putting	VVG	putt
on	IN	on
the	DT	the
wall	NN	wall
zee	NN	zee
peedle	NN	peedle
and	CC	and
a	DT	a
piece	NN	piece
of	IN	of
baney	NN	baney
.	SENT	.
da	NP	da
la	FW	la
.	SENT	.
there	EX	there
was	VBD	be
a	DT	a
little	JJ	little
farmer	NN	farmer
sitting	VVG	sit
in	IN	in
.	SENT	.
the	DT	the
lipe	NN	lipe
and	CC	and
he	PP	he
sand	NN	sand
a	DT	a
bee	NN	bee
.	SENT	.
but	CC	but
he	PP	he
sang	VVD	sing
bee	NN	bee
,	,	,
fly	VV	fly
,	,	,
go	VV	go
away	RB	away
,	,	,
bee	NN	bee
,	,	,
I	PP	i
do	VVP	do
n't	RB	not
like	IN	like
you	PP	you
.	SENT	.
that	DT	that
's	VVZ	's
all	DT	all
.	SENT	.
if	IN	if
you	PP	you
push	VVP	push
that	DT	that
button	NN	button
I	PP	i
can	MD	can
n't	RB	not
talk	VV	talk
.	SENT	.
so	RB	so
push	VV	push
that	DT	that
button	NN	button
up	IN	up
.	SENT	.
there	EX	there
was	VBD	be
a	DT	a
little	JJ	little
farmer	NN	farmer
standing	VVG	stand
in	IN	in
the	DT	the
sun	NN	sun
.	SENT	.
it	PP	it
heard	VVD	hear
a	DT	a
bee	NN	bee
a	DT	a
lee	NN	lee
.	SENT	.
it	PP	it
stinged	VVD	<unknown>
him	PP	him
and	CC	and
very	RB	very
funny	JJ	funny
.	SENT	.
it	PP	it
's	VVZ	's
not	RB	not
.	SENT	.
very	RB	very
funny	JJ	funny
for	IN	for
you	PP	you
.	SENT	.
but	CC	but
it	PP	it
's	VVZ	's
very	RB	very
funny	JJ	funny
for	IN	for
me	PP	me
because	IN	because
.	SENT	.
no	DT	no
you	PP	you
can	MD	can
n't	RB	not
.	SENT	.
no	DT	no
you	PP	you
can	MD	can
n't	RB	not
.	SENT	.
I	PP	i
have	VHP	have
a	DT	a
sentence	NN	sentence
for	IN	for
you	PP	you
.	SENT	.
you	PP	you
can	MD	can
say	VV	say
it	PP	it
with	IN	with
me	PP	me
.	SENT	.
say	VVP	say
ee	VVG	<unknown>
yay	JJ	yay
ee	NN	ee
yay	JJ	yay
oh	UH	oh
.	SENT	.
ahee	NN	ahee
.	SENT	.
aheefueefu	NN	aheefueefu
do	VVP	do
n't	RB	not
blow	VV	blow
into	IN	into
the	DT	the
microphone	NN	microphone
.	SENT	.
let	VV	let
's	POS	's
try	NN	try
it	PP	it
again	RB	again
.	SENT	.
aheeooeeoof	NN	aheeooeeoof
.	SENT	.
no	DT	no
,	,	,
try	NN	try
it	PP	it
again	RB	again
.	SENT	.
there	EX	there
was	VBD	be
a	DT	a
little	JJ	little
farmer	NN	farmer
sitting	VVG	sit
in	IN	in
the	DT	the
dell	NN	dell
and	CC	and
he	PP	he
gan	VVD	<unknown>
little	JJ	little
pell	NN	pell
.	SENT	.
little	JJ	little
pay	NN	pay
,	,	,
nay	RB	nay
,	,	,
little	JJ	little
shell	NN	shell
.	SENT	.
and	CC	and
he	PP	he
did	VVD	do
n't	RB	not
no	RB	no
longer	RB	long
tell	VV	tell
.	SENT	.
you	PP	you
,	,	,
too	RB	too
,	,	,
can	MD	can
talk	VV	talk
,	,	,
too	RB	too
.	SENT	.
no	DT	no
one	CD	one
else	RB	else
can	MD	can
talk	VV	talk
like	IN	like
us	PP	us
.	SENT	.
so	RB	so
.	SENT	.
I	PP	i
did	VVD	do
n't	RB	not
push	VV	push
any	DT	any
buttons	NNS	button
.	SENT	.
and	CC	and
or	CC	or
like	IN	like
this	DT	this
.	SENT	.
and	CC	and
United	NP	unite
States	NP	state
will	MD	will
be	VB	be
close	RB	close
to	TO	to
you	PP	you
and	CC	and
me	PP	me
.	SENT	.
and	CC	and
you	PP	you
thinks	VVZ	think
it	PP	it
's	VVZ	's
nice	JJ	nice
if	IN	if
you	PP	you
very	JJ	very
lice	NNS	louse
.	SENT	.
if	IN	if
you	PP	you
very	RB	very
nice	JJ	nice
,	,	,
then	RB	then
you	PP	you
'll	MD	will
get	VV	get
a	DT	a
present	NN	present
.	SENT	.
it	PP	it
will	MD	will
be	VB	be
quite	RB	quite
nice	JJ	nice
.	SENT	.
it	PP	it
will	MD	will
be	VB	be
a	DT	a
present	NN	present
.	SENT	.
it	PP	it
will	MD	will
be	VB	be
quite	RB	quite
delicate	JJ	delicate
.	SENT	.
and	CC	and
you	PP	you
'll	MD	will
get	VV	get
a	DT	a
present	NN	present
for	IN	for
ever	RB	ever
and	CC	and
ever	RB	ever
to	TO	to
you	PP	you
.	SENT	.
you	PP	you
'll	MD	will
get	VV	get
a	DT	a
present	NN	present
.	SENT	.
for	IN	for
any	DT	any
and	CC	and
yourself	PP	yourself
.	SENT	.
okay	JJ	okay
.	SENT	.
you	PP	you
do	VVP	do
n't	RB	not
think	VV	think
it	PP	it
's	VVZ	's
quite	RB	quite
nice	JJ	nice
if	IN	if
you	PP	you
think	VVP	think
it	PP	it
's	VVZ	's
not	RB	not
a	DT	a
lice	NNS	louse
.	SENT	.
can	MD	can
n't	RB	not
talk	VV	talk
anymore	RB	anymore
.	SENT	.
get	VV	get
some	DT	some
children	NNS	child
on	IN	on
talk	NN	talk
.	SENT	.
anyone	NN	anyone
wanna	VV	wanna
talk	NN	talk
with	IN	with
me	PP	me
?	SENT	?
anyone	NN	anyone
wanna	VV	wanna
talk	NN	talk
with	IN	with
me	PP	me
?	SENT	?
okay	JJ	okay
.	SENT	.
come	VV	come
over	IN	over
here	RB	here
.	SENT	.
you	PP	you
?	SENT	?
you	PP	you
'll	MD	will
all	DT	all
get	VV	get
turns	VVZ	turn
.	SENT	.
I	PP	i
like	VVP	like
Naomi	NP	naomi
.	SENT	.
who	WP	who
's	VVZ	's
Naomi	NP	naomi
.	SENT	.
Naomi	NP	naomi
gets	VVZ	get
to	TO	to
be	VB	be
first	JJ	first
.	SENT	.
okay	JJ	okay
,	,	,
Mark	NP	mark
,	,	,
wanna	VV	wanna
speak	VV	speak
?	SENT	?
say	VV	say
.	SENT	.
ah	UH	ah
,	,	,
Jack	NP	jack
and	CC	and
Jill	NP	jill
went	VVD	go
up	IN	up
the	DT	the
hill	NN	hill
.	SENT	.
no	DT	no
that	DT	that
's	VVZ	's
not	RB	not
right	NN	right
.	SENT	.
aheeaheeah	NN	aheeaheeah
.	SENT	.
where	WRB	where
's	POS	's
Kim	NP	kim
?	SENT	?
oh	UH	oh
,	,	,
Kim	NP	kim
did	VVD	do
n't	RB	not
want	VV	want
to	TO	to
say	VV	say
anything	NN	anything
.	SENT	.
Kim	NP	kim
,	,	,
oh	UH	oh
,	,	,
I	PP	i
'm	VBP	be
not	RB	not
gon	VVG	gon
na	TO	na
hurt	VV	hurt
a	DT	a
anyone	NN	anyone
.	SENT	.
okay	JJ	okay
,	,	,
you	PP	you
can	MD	can
say	VV	say
Jack	NP	jack
and	CC	and
Jill	NP	jill
.	SENT	.
Jack	NP	jack
and	CC	and
Jill	NP	jill
went	VVD	go
up	IN	up
the	DT	the
hill	NN	hill
to	TO	to
fetch	VV	fetch
a	DT	a
pail	NN	pail
of	IN	of
water	NN	water
.	SENT	.
Jack	NP	jack
fell	VVD	fall
down	RB	down
and	CC	and
broke	VVD	break
his	PP$	his
crown	NN	crown
and	CC	and
Jill	NP	jill
came	VVD	come
tumbling	VVG	tumble
after	IN	after
.	SENT	.
okay	JJ	okay
,	,	,
how	WRB	how
was	VBD	be
your	PP$	your
vacation	NN	vacation
.	SENT	.
fine	JJ	fine
.	SENT	.
mine	NN	mine
was	VBD	be
too	RB	too
.	SENT	.
I	PP	i
had	VHD	have
ta	VVN	<unknown>
go	NN	go
skiing	NN	ski
and	CC	and
I	PP	i
love	VVP	love
to	TO	to
go	VV	go
skiing	NN	ski
.	SENT	.
do	VVP	do
you	PP	you
?	SENT	?
no	DT	no
.	SENT	.
I	PP	i
went	VVD	go
to	TO	to
Vermont	NP	vermont
where	WRB	where
it	PP	it
's	VVZ	's
quite	RB	quite
cold	JJ	cold
.	SENT	.
and	CC	and
I	PP	i
did	VVD	do
n't	RB	not
even	JJ	even
ski	NN	ski
.	SENT	.
oh	UH	oh
,	,	,
I	PP	i
love	VVP	love
skiing	VVG	ski
.	SENT	.
I	PP	i
hope	VVP	hope
Naomi	NP	naomi
does	VVZ	do
n't	RB	not
.	SENT	.
I	PP	i
hope	VVP	hope
she	PP	she
does	VVZ	do
n't	RB	not
okay	JJ	okay
.	SENT	.
Jack	NP	jack
and	CC	and
Jill	NP	jill
went	VVD	go
up	IN	up
the	DT	the
hill	NN	hill
.	SENT	.
eyahuh	NN	eyahuh
.	SENT	.
say	VVP	say
that	IN	that
.	SENT	.
Jack	NP	jack
and	CC	and
Jill	NP	jill
went	VVD	go
up	IN	up
the	DT	the
hill	NN	hill
aheeuu	NN	aheeuu
.	SENT	.
let	VV	let
's	POS	's
go	NN	go
downstairs	NN	downstairs
.	SENT	.
you	PP	you
're	VVP	're
next	JJ	next
.	SENT	.
what	WP	what
do	VVP	do
you	PP	you
wanna	VV	wanna
say	VVP	say
?	SENT	?
okay	JJ	okay
.	SENT	.
you	PP	you
can	MD	can
go	VV	go
downstairs	NN	downstairs
.	SENT	.
tow	NN	tow
,	,	,
bow	NN	bow
,	,	,
cow	NN	cow
,	,	,
low	JJ	low
.	SENT	.
pa	NN	pa
kee	NN	kee
sloo	NN	sloo
poo	NN	poo
can	MD	can
you	PP	you
say	VV	say
that	IN	that
.	SENT	.
Naomi	NP	naomi
.	SENT	.
pa	NN	pa
klee	NN	klee
shu	NN	shu
dabby	NN	dabby
ga	NN	ga
.	SENT	.
really	RB	really
?	SENT	?
yeah	UH	yeah
.	SENT	.
I	PP	i
'm	VBP	be
gon	VVG	gon
na	TO	na
tell	VV	tell
her	PP$	her
not	RB	not
to	TO	to
.	SENT	.
Della	NP	della
,	,	,
she	PP	she
's	VVZ	's
not	RB	not
here	RB	here
.	SENT	.
she	PP	she
only	RB	only
comes	VVZ	come
in	IN	in
sometimes	RB	sometimes
.	SENT	.
well	RB	well
.	SENT	.
people	NNS	person
.	SENT	.
you	PP	you
've	VHP	have
been	VBN	be
quite	RB	quite
nice	JJ	nice
,	,	,
Naomi	NP	naomi
.	SENT	.
I	PP	i
know	VVP	know
I	PP	i
saw	VVD	see
you	PP	you
at	IN	at
your	PP$	your
birthday	NN	birthday
.	SENT	.
lend	VV	lend
away	RB	away
.	SENT	.
time	NN	time
to	TO	to
my	PP$	my
house	NN	house
and	CC	and
I	PP	i
'm	VBP	be
really	RB	really
Naomi	NP	naomi
.	SENT	.
you	PP	you
're	VVP	're
really	RB	really
Naomi	NP	naomi
too	RB	too
.	SENT	.
and	CC	and
you	PP	you
think	VVP	think
but	CC	but
that	DT	that
's	VVZ	's
all	DT	all
I	PP	i
want	VVP	want
to	TO	to
say	VV	say
Mom	NN	mom
,	,	,
I	PP	i
wanna	VVP	wanna
hear	VV	hear
my	PP$	my
sentence	NN	sentence
.	SENT	.
right	RB	right
here	RB	here
.	SENT	.
there	RB	there
.	SENT	.
oopsie	NN	oopsie
.	SENT	.
then	RB	then
I	PP	i
saw	VVD	see
there	EX	there
again	RB	again
.	SENT	.
oh	UH	oh
,	,	,
yeah	UH	yeah
.	SENT	.
that	DT	that
's	VVZ	's
but	CC	but
where	WRB	where
should	MD	should
I	PP	i
put	VV	put
this	DT	this
?	SENT	?
it	PP	it
's	VVZ	's
move	NN	move
.	SENT	.
here	RB	here
?	SENT	?
and	CC	and
then	RB	then
put	VV	put
this	DT	this
hanging	VVG	hang
down	RB	down
there	RB	there
.	SENT	.
it	PP	it
's	VVZ	's
laying	VVG	lay
down	RB	down
here	RB	here
.	SENT	.
it	PP	it
's	VVZ	's
lower	JJR	low
.	SENT	.
and	CC	and
this	DT	this
right	RB	right
here	RB	here
,	,	,
yeah	UH	yeah
.	SENT	.
that	DT	that
's	VVZ	's
supposed	VVN	suppose
to	TO	to
this	DT	this
right	RB	right
here	RB	here
.	SENT	.
that	DT	that
's	VVZ	's
the	DT	the
pear	NN	pear
has	VHZ	have
to	TO	to
go	VV	go
oopsie	NN	oopsie
.	SENT	.
I	PP	i
told	VVD	tell
you	PP	you
not	RB	not
to	TO	to
go	VV	go
.	SENT	.
alright	NN	alright
?	SENT	?
here	RB	here
.	SENT	.
hanging	VVG	hang
down	RB	down
.	SENT	.
this	DT	this
one	CD	one
carried	VVD	carry
it	PP	it
.	SENT	.
mhm	NN	mhm
.	SENT	.
and	CC	and
here	RB	here
's	VVZ	's
the	DT	the
leaves	NNS	leaf
.	SENT	.
they	PP	they
're	VVP	're
not	RB	not
saying	VVG	say
anything	NN	anything
to	TO	to
each	DT	each
other	NN	other
.	SENT	.
know	VV	know
why	WRB	why
?	SENT	?
now	RB	now
it	PP	it
's	VVZ	's
now	RB	now
it	PP	it
's	VVZ	's
coming	VVG	come
.	SENT	.
they	PP	they
're	VVP	're
sleeping	VVG	sleep
.	SENT	.
that	DT	that
's	VVZ	's
why	WRB	why
they	PP	they
're	VVP	're
not	RB	not
talking	VVG	talk
.	SENT	.
now	RB	now
the	DT	the
moon	NN	moon
goes	VVZ	go
down	RB	down
back	RB	back
here	RB	here
.	SENT	.
uhhuh	NN	uhhuh
.	SENT	.
it	PP	it
's	VVZ	's
coming	VVG	come
daytime	JJ	daytime
.	SENT	.
now	RB	now
it	PP	it
's	VVZ	's
daytime	JJ	daytime
.	SENT	.
see	VV	see
.	SENT	.
it	PP	it
's	VVZ	's
daytime	JJ	daytime
.	SENT	.
let	VV	let
's	VVZ	's
put	VVN	put
this	DT	this
light	NN	light
up	IN	up
.	SENT	.
yup	NN	yup
.	SENT	.
there	RB	there
.	SENT	.
see	VV	see
.	SENT	.
now	RB	now
the	DT	the
first	JJ	first
boy	NN	boy
goes	VVZ	go
up	IN	up
and	CC	and
climbs	VVZ	climb
up	IN	up
a	DT	a
tree	NN	tree
.	SENT	.
now	RB	now
he	PP	he
's	VVZ	's
up	IN	up
on	IN	on
a	DT	a
tree	NN	tree
.	SENT	.
see	VV	see
,	,	,
on	IN	on
the	DT	the
first	JJ	first
branch	NN	branch
.	SENT	.
and	CC	and
now	RB	now
here	RB	here
's	POS	's
climbing	VVG	climb
down	RB	down
.	SENT	.
see	VV	see
?	SENT	?
mhm	NN	mhm
.	SENT	.
here	RB	here
he	PP	he
goes	VVZ	go
.	SENT	.
now	RB	now
he	PP	he
's	VVZ	's
climbing	VVG	climb
down	RB	down
.	SENT	.
okay	JJ	okay
,	,	,
now	RB	now
he	PP	he
walks	VVZ	walk
on	IN	on
the	DT	the
grass	NN	grass
.	SENT	.
and	CC	and
now	RB	now
he	PP	he
slid	VVD	slide
down	RB	down
.	SENT	.
now	RB	now
he	PP	he
walks	VVZ	walk
up	IN	up
.	SENT	.
and	CC	and
then	RB	then
he	PP	he
's	VVZ	's
on	IN	on
the	DT	the
top	NN	top
of	IN	of
the	DT	the
house	NN	house
.	SENT	.
and	CC	and
he	PP	he
's	VVZ	's
gon	VVG	gon
na	TO	na
stay	VV	stay
there	RB	there
until	IN	until
the	DT	the
little	JJ	little
girl	NN	girl
comes	VVZ	come
down	RB	down
.	SENT	.
little	JJ	little
girl	NN	girl
,	,	,
come	VV	come
here	RB	here
.	SENT	.
she	PP	she
fell	VVD	fall
out	RP	out
this	DT	this
tree	NN	tree
but	CC	but
she	PP	she
get	VVP	get
she	PP	she
fell	VVD	fall
down	RB	down
.	SENT	.
she	PP	she
can	MD	can
n't	RB	not
.	SENT	.
that	DT	that
's	VVZ	's
why	WRB	why
she	PP	she
has	VHZ	have
to	TO	to
climb	VV	climb
up	IN	up
and	CC	and
hold	NN	hold
on	IN	on
.	SENT	.
I	PP	i
'm	VBP	be
coming	VVG	come
.	SENT	.
look	VV	look
at	IN	at
me	PP	me
.	SENT	.
look	VV	look
at	IN	at
us	PP	us
.	SENT	.
look	VV	look
at	IN	at
us	PP	us
.	SENT	.
we	PP	we
're	VVP	're
on	IN	on
the	DT	the
top	NN	top
of	IN	of
the	DT	the
mountain	NN	mountain
.	SENT	.
I	PP	i
'm	VBP	be
on	IN	on
the	DT	the
side	NN	side
.	SENT	.
he	PP	he
's	VVZ	's
on	IN	on
the	DT	the
top	NN	top
.	SENT	.
now	RB	now
the	DT	the
car	NN	car
goes	VVZ	go
.	SENT	.
they	PP	they
're	VVP	're
going	VVG	go
down	RB	down
and	CC	and
climbing	VVG	climb
up	IN	up
.	SENT	.
but	CC	but
she	PP	she
's	VVZ	's
on	IN	on
him	PP	him
.	SENT	.
know	VV	know
why	WRB	why
?	SENT	?
five	CD	five
.	SENT	.
and	CC	and
he	PP	he
goes	VVZ	go
to	TO	to
kindergarten	NN	kindergarten
.	SENT	.
now	RB	now
he	PP	he
goes	VVZ	go
in	IN	in
back	RB	back
.	SENT	.
he	PP	he
goes	VVZ	go
right	RB	right
here	RB	here
.	SENT	.
and	CC	and
she	PP	she
goes	VVZ	go
right	RB	right
here	RB	here
,	,	,
in	IN	in
the	DT	the
car	NN	car
.	SENT	.
now	RB	now
they	PP	they
're	VVP	're
brr	VVG	<unknown>
,	,	,
brr	NN	brr
.	SENT	.
whoopsie	NN	whoopsie
.	SENT	.
they	PP	they
have	VHP	have
to	TO	to
go	VV	go
.	SENT	.
so	RB	so
wait	VV	wait
,	,	,
wait	VV	wait
.	SENT	.
they	PP	they
're	VVP	're
getting	VVG	get
in	IN	in
.	SENT	.
now	JJ	now
brr	NN	brr
.	SENT	.
they	PP	they
went	VVD	go
she	PP	she
goes	VVZ	go
he	PP	he
goes	VVZ	go
right	RB	right
here	RB	here
.	SENT	.
and	CC	and
he	PP	he
